"Label (Grouping)","Illinois!!Estimate","Illinois!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error"
"Total:","4,991,641","±12,428","7,652,666","±17,305","3,022,255","±9,423"
"    Householder under 25 years:","179,566","±6,578","201,346","±7,991","119,196","±5,170"
"        Less than $10,000","31,941","±3,028","36,743","±4,164","16,249","±2,853"
"        $10,000 to $14,999","12,965","±2,261","11,233","±2,075","4,946","±1,327"
"        $15,000 to $19,999","12,791","±2,594","10,527","±2,428","5,159","±1,516"
"        $20,000 to $24,999","11,748","±1,678","10,503","±2,155","7,468","±1,775"
"        $25,000 to $29,999","10,696","±1,868","9,600","±1,781","5,875","±1,403"
"        $30,000 to $34,999","12,407","±2,213","10,774","±2,222","6,765","±1,726"
"        $35,000 to $39,999","8,082","±1,544","10,234","±1,819","5,553","±1,477"
"        $40,000 to $44,999","7,944","±1,571","10,052","±1,982","5,592","±1,568"
"        $45,000 to $49,999","6,596","±1,609","9,073","±2,234","5,009","±1,441"
"        $50,000 to $59,999","13,457","±2,162","14,700","±2,770","10,406","±1,965"
"        $60,000 to $74,999","17,991","±2,769","21,448","±2,612","15,774","±2,525"
"        $75,000 to $99,999","16,084","±2,530","17,748","±2,690","11,291","±2,089"
"        $100,000 to $124,999","7,060","±1,525","11,108","±1,871","8,429","±2,029"
"        $125,000 to $149,999","3,906","±1,139","6,426","±1,712","4,890","±1,249"
"        $150,000 to $199,999","3,405","±1,140","5,835","±1,386","2,146","±744"
"        $200,000 or more","2,493","±999","5,342","±1,595","3,644","±1,319"
"    Householder 25 to 44 years:","1,671,363","±10,918","2,389,461","±16,460","1,100,204","±10,780"
"        Less than $10,000","89,818","±6,352","147,025","±7,349","41,533","±3,911"
"        $10,000 to $14,999","36,649","±3,301","56,225","±5,207","17,877","±2,765"
"        $15,000 to $19,999","37,356","±4,227","56,000","±5,441","17,899","±2,607"
"        $20,000 to $24,999","46,088","±4,252","61,749","±4,761","18,846","±2,517"
"        $25,000 to $29,999","45,419","±3,308","70,841","±5,572","23,368","±3,022"
"        $30,000 to $34,999","58,709","±4,444","74,682","±5,716","26,642","±3,086"
"        $35,000 to $39,999","55,783","±4,640","70,297","±4,886","31,066","±3,737"
"        $40,000 to $44,999","60,998","±4,260","84,524","±4,878","36,529","±3,604"
"        $45,000 to $49,999","58,294","±4,344","67,108","±6,334","27,237","±2,882"
"        $50,000 to $59,999","117,768","±5,947","151,371","±8,371","70,146","±5,210"
