,categories,rating,price,review_count,name,city,state
1,Mexican,4.5,2,865,La Contenta,New York,NY
2,American (New),4,2,495,The Cabin NYC,New York,NY
4,Shanghainese,4,2,6937,Joe's Shanghai,New York,NY
7,Dim Sum,4,2,206,3 Times,New York,NY
8,Thai,4.5,3,545,Wayla,New York,NY
9,Southern,4,2,1849,Sweet Chick,New York,NY
10,Bars,4,2,346,Excuse My French,New York,NY
11,Korean,5,2,13,Sobak,New York,NY
12,Ramen,4.5,2,73,Okiboru House of Tsukemen,New York,NY
13,Japanese,4,2,305,Davelle,New York,NY
15,Filipino,4,3,1815,Pig and Khao,New York,NY
17,Vietnamese,4,2,529,Ginger and Lemongrass,New York,NY
18,Malaysian,4,2,894,Kopitiam,New York,NY
19,Mexican,4,2,1170,Barrio Chino,New York,NY
20,Chinese,4.5,1,1110,Shu Jiao Fu Zhou,New York,NY
21,French,4.5,2,321,Les Enfants de Boheme,New York,NY
23,Japanese,4.5,2,679,Benemon,New York,NY
24,Mediterranean,4.5,1,221,Lava Shawarma,New York,NY
25,Greek,4,2,764,Kiki's,New York,NY
27,Italian,4,2,1442,Supper,New York,NY
28,Ramen,4,2,400,Nakamura,New York,NY
29,Cafes,4.5,2,337,Good Thanks Cafe,New York,NY
30,Bakeries,4,2,5599,Clinton Street Baking Company,New York,NY
31,Bars,4.5,2,176,Izakaya Juraku,New York,NY
32,Italian,4.5,2,280,Trapizzino,New York,NY
34,American (New),4,3,3755,Beauty & Essex,New York City,NY
37,Chinese,4,1,597,Kong Sihk Tong 港食堂,New York,NY
40,Indian,4,3,302,Dhamaka,New York,NY
41,Fast Food,4.5,1,1882,Wah Fung No 1,New York,NY
42,Sandwiches,4.5,1,1330,Cheeky Sandwiches,New York,NY
44,Desserts,5,1,357,Joey Bats Café,New York,NY
45,Tapas/Small Plates,4,2,1485,Verlaine,New York,NY
46,Cafes,4,2,933,Dudley's,New York,NY
48,Malaysian,4,2,2284,Nyonya,New York,NY
50,Tapas/Small Plates,4,2,634,Ella Social,New York,NY
51,American (New),4,2,1975,The Smith,New York,NY
52,American (New),4,2,300,Harvest Kitchen,New York,NY
53,Moroccan,4,2,653,Shalel Lounge,New York,NY
56,Thai,4.5,2,664,Sala Thai Restaurant,New York,NY
57,Italian,3.5,2,673,Parm - New York,New York,NY
58,American (New),4,3,586,Cafe Luxembourg,New York,NY
59,Noodles,5,2,51,Simply Noodles,New York,NY
60,Japanese,4,2,1943,Sushi Yasaka,New York,NY
61,Mexican,4,2,131,Covacha,New York,NY
62,Ramen,4,2,459,Zurutto Ramen & Gyoza Bar,New York,NY
63,Korean,4.5,2,458,The Jin,New York,NY
64,Mediterranean,4,3,774,Boulud Sud,New York,NY
65,Tapas Bars,4.5,2,135,Dark Bullet Sake & Oyster Bar,New York,NY
66,Italian,4,2,225,Polpette 71,New York,NY
69,Breakfast & Brunch,4,2,245,Friedman's,New York,NY
70,Japanese,4,2,150,Amber,New York,NY
71,Vegan,4,2,51,Le Botaniste,New York,NY
72,American (New),4,2,468,Momofuku Noodle Bar - Uptown,New York,NY
73,American (New),3.5,3,1794,Tavern on the Green,New York,NY
74,Bakeries,4,1,121,Boule & Cherie,New York,NY
75,Soul Food,4,2,119,Charles’s Pan Fried Chicken,New York,NY
77,Vietnamese,4,2,230,Pho Shop,New York,NY
78,Mexican,3.5,2,585,El Mitote,New York,NY
