Label (Grouping),Illinois,New York,Washington
"        Less than $10,000",89818,147025,41533
"        $10,000 to $14,999",36649,56225,17877
"        $15,000 to $19,999",37356,56000,17899
"        $20,000 to $24,999",46088,61749,18846
"        $25,000 to $29,999",45419,70841,23368
"        $30,000 to $34,999",58709,74682,26642
"        $35,000 to $39,999",55783,70297,31066
"        $40,000 to $44,999",60998,84524,36529
"        $45,000 to $49,999",58294,67108,27237
"        $50,000 to $59,999",117768,151371,70146
"        $60,000 to $74,999",171679,220167,101293
"        $75,000 to $99,999",246279,315977,153078
"        $100,000 to $124,999",195805,252423,130237
"        $125,000 to $149,999",125491,180147,94584
"        $150,000 to $199,999",150298,236067,128721
"        $200,000 or more",174929,344858,181148
