,categories,title,rating,price,review_count,name,city,state
1,Mexican,Mexican,4.5,$$,865,La Contenta,New York,NY
2,American (New),American (New),4.0,$$,495,The Cabin NYC,New York,NY
4,Shanghainese,Shanghainese,4.0,$$,6937,Joe's Shanghai,New York,NY
7,Dim Sum,Dim Sum,4.0,$$,206,3 Times,New York,NY
8,Thai,Thai,4.5,$$$,545,Wayla,New York,NY
9,Southern,Southern,4.0,$$,1849,Sweet Chick,New York,NY
10,Bars,Bars,4.0,$$,346,Excuse My French,New York,NY
11,Korean,Korean,5.0,$$,13,Sobak,New York,NY
12,Ramen,Ramen,4.5,$$,73,Okiboru House of Tsukemen,New York,NY
13,Japanese,Japanese,4.0,$$,305,Davelle,New York,NY
15,Filipino,Filipino,4.0,$$$,1815,Pig and Khao,New York,NY
17,Vietnamese,Vietnamese,4.0,$$,529,Ginger and Lemongrass,New York,NY
18,Malaysian,Malaysian,4.0,$$,894,Kopitiam,New York,NY
19,Mexican,Mexican,4.0,$$,1170,Barrio Chino,New York,NY
20,Chinese,Chinese,4.5,$,1110,Shu Jiao Fu Zhou,New York,NY
21,French,French,4.5,$$,321,Les Enfants de Boheme,New York,NY
23,Japanese,Japanese,4.5,$$,679,Benemon,New York,NY
24,Mediterranean,Mediterranean,4.5,$,221,Lava Shawarma,New York,NY
25,Greek,Greek,4.0,$$,764,Kiki's,New York,NY
27,Italian,Italian,4.0,$$,1442,Supper,New York,NY
28,Ramen,Ramen,4.0,$$,400,Nakamura,New York,NY
29,Cafes,Cafes,4.5,$$,337,Good Thanks Cafe,New York,NY
30,Bakeries,Bakeries,4.0,$$,5599,Clinton Street Baking Company,New York,NY
31,Bars,Bars,4.5,$$,176,Izakaya Juraku,New York,NY
32,Italian,Italian,4.5,$$,280,Trapizzino,New York,NY
34,American (New),American (New),4.0,$$$,3755,Beauty & Essex,New York City,NY
37,Chinese,Chinese,4.0,$,597,Kong Sihk Tong 港食堂,New York,NY
40,Indian,Indian,4.0,$$$,302,Dhamaka,New York,NY
41,Fast Food,Fast Food,4.5,$,1882,Wah Fung No 1,New York,NY
42,Sandwiches,Sandwiches,4.5,$,1330,Cheeky Sandwiches,New York,NY
44,Desserts,Desserts,5.0,$,357,Joey Bats Café,New York,NY
45,Tapas/Small Plates,Tapas/Small Plates,4.0,$$,1485,Verlaine,New York,NY
46,Cafes,Cafes,4.0,$$,933,Dudley's,New York,NY
48,Malaysian,Malaysian,4.0,$$,2284,Nyonya,New York,NY
50,Tapas/Small Plates,Tapas/Small Plates,4.0,$$,634,Ella Social,New York,NY
51,American (New),American (New),4.0,$$,1975,The Smith,New York,NY
52,American (New),American (New),4.0,$$,300,Harvest Kitchen,New York,NY
53,Moroccan,Moroccan,4.0,$$,653,Shalel Lounge,New York,NY
56,Thai,Thai,4.5,$$,664,Sala Thai Restaurant,New York,NY
57,Italian,Italian,3.5,$$,673,Parm - New York,New York,NY
58,American (New),American (New),4.0,$$$,586,Cafe Luxembourg,New York,NY
59,Noodles,Noodles,5.0,$$,51,Simply Noodles,New York,NY
60,Japanese,Japanese,4.0,$$,1943,Sushi Yasaka,New York,NY
61,Mexican,Mexican,4.0,$$,131,Covacha,New York,NY
62,Ramen,Ramen,4.0,$$,459,Zurutto Ramen & Gyoza Bar,New York,NY
63,Korean,Korean,4.5,$$,458,The Jin,New York,NY
64,Mediterranean,Mediterranean,4.0,$$$,774,Boulud Sud,New York,NY
65,Tapas Bars,Tapas Bars,4.5,$$,135,Dark Bullet Sake & Oyster Bar,New York,NY
66,Italian,Italian,4.0,$$,225,Polpette 71,New York,NY
69,Breakfast & Brunch,Breakfast & Brunch,4.0,$$,245,Friedman's,New York,NY
70,Japanese,Japanese,4.0,$$,150,Amber,New York,NY
71,Vegan,Vegan,4.0,$$,51,Le Botaniste,New York,NY
72,American (New),American (New),4.0,$$,468,Momofuku Noodle Bar - Uptown,New York,NY
73,American (New),American (New),3.5,$$$,1794,Tavern on the Green,New York,NY
74,Bakeries,Bakeries,4.0,$,121,Boule & Cherie,New York,NY
75,Soul Food,Soul Food,4.0,$$,119,Charles’s Pan Fried Chicken,New York,NY
77,Vietnamese,Vietnamese,4.0,$$,230,Pho Shop,New York,NY
78,Mexican,Mexican,3.5,$$,585,El Mitote,New York,NY
80,Diners,Diners,3.5,$$,164,Old John's Diner,New York,NY
81,Thai,Thai,4.0,$$,337,Thai72,New York,NY
82,American (New),American (New),4.0,$$,29,Community Food & Juice,New York,NY
84,American (New),American (New),4.0,$$$,436,Tessa,New York,NY
86,Italian,Italian,3.5,$$,321,Il Violino,New York,NY
91,Cafes,Cafes,3.0,$$,38,Maman,New York,NY
92,American (New),American (New),4.0,$$,140,Lilly's Cocktail and Wine,New York,NY
94,Italian,Italian,4.0,$$,371,Pomodoro Rosso,New York,NY
95,Mediterranean,Mediterranean,3.5,$$,216,North Miznon,New York,NY
96,Japanese,Japanese,4.0,$$,387,Raku - It's Japanese II,New York,NY
98,Kosher,Kosher,4.0,$$,48,Noidue Carne,New York,NY
99,Greek,Greek,4.0,$$,592,The Greek Kitchen,New York,NY
100,Noodles,Noodles,4.5,$$,273,The Tang - Upper West Side,New York,NY
101,Italian,Italian,4.5,$$,190,Osteria 106,New York,NY
